State,TimeStamp,EEG_F3_Alpha,EEG_F3_Beta,EEG_F3_Theta,ECG_Burg,ECG_TimeSeries,ECG_SDNN,PupilDiameter,ECG_SDSD,ECG_RMSSD
3,2015.09.30. 13:31:16,177130.0,5869.1,59838.0,1139600.0,1848.2,674.95,4.612413793103448,371.99,523.31
3,2015.09.30. 13:31:17,126910.0,4224.2,150630.0,1318300.0,1839.9,673.37,4.746279069767441,371.67,522.54
3,2015.09.30. 13:31:18,104370.0,4953.8,28353.0,1533300.0,1855.2,659.34,5.131071428571429,374.52,522.77
3,2015.09.30. 13:31:19,43732.0,4282.1,43997.0,1503400.0,1843.5,655.84,4.841875,374.67,526.76
3,2015.09.30. 13:31:20,54646.0,5259.8,49549.0,1627200.0,1827.1,630.73,4.675172413793102,380.02,520.35
3,2015.09.30. 13:31:21,142040.0,4788.7,91344.0,2307900.0,1783.9,639.07,0,380.05,523.12
3,2015.09.30. 13:31:22,149460.0,2815.3,194700.0,2011800.0,1744.1,638.7,4.800357142857143,382.52,533.36
3,2015.09.30. 13:31:23,1524800.0,28591.0,3487800.0,1826500.0,1725.1,639.07,5.195384615384615,377.22,544.77
3,2015.09.30. 13:31:24,874710.0,20942.0,556480.0,2251000.0,1738.6,631.93,4.665000000000001,375.32,550.55
3,2015.09.30. 13:31:25,60423.0,12149.0,31244.0,4234400.0,1732.0,633.25,4.746388888888888,329.09,501.95
3,2015.09.30. 13:31:26,59509.0,6363.6,58387.0,5654700.0,1725.8,638.84,5.198269230769231,328.19,501.25
3,2015.09.30. 13:31:27,85098.0,5996.1,153500.0,7206200.0,1721.8,645.77,4.638333333333333,328.18,503.78
3,2015.09.30. 13:31:28,196180.0,6617.4,24155.0,8171200.0,1705.3,636.57,5.043333333333333,330.9,512.56
3,2015.09.30. 13:31:29,118130.0,6468.5,148850.0,10590000.0,1669.4,651.03,5.111111111111111,328.23,520.3
3,2015.09.30. 13:31:30,75263.0,5024.7,18555.0,10901000.0,1620.6,655.5,4.680714285714285,327.36,517.76
3,2015.09.30. 13:31:31,96869.0,8705.0,48540.0,10870000.0,1594.9,654.34,5.061999999999999,324.02,519.98
3,2015.09.30. 13:31:32,49601.0,5109.8,35645.0,10649000.0,1592.3,646.86,4.664750000000001,319.77,520.37
3,2015.09.30. 13:31:33,73110.0,3111.5,44850.0,11720000.0,1542.4,631.84,4.993793103448276,292.76,490.77
3,2015.09.30. 13:31:34,152430.0,4667.5,136730.0,9935900.0,1513.8,628.21,0,287.79,491.35
3,2015.09.30. 13:31:35,30988.0,5289.1,19234.0,9459200.0,1536.8,633.49,4.604901960784315,288.21,489.65
3,2015.09.30. 13:31:36,111540.0,4726.7,28665.0,9326200.0,1577.1,631.38,5.127037037037037,290.14,492.69
3,2015.09.30. 13:31:37,241610.0,8996.1,89838.0,9287300.0,1609.0,625.62,4.521142857142857,280.97,508.34
3,2015.09.30. 13:31:38,128360.0,7102.3,53619.0,9182100.0,1663.2,606.79,4.853035714285714,272.93,513.47
3,2015.09.30. 13:31:39,114030.0,3954.8,100930.0,9022400.0,1716.0,582.29,5.041754385964911,262.85,525.6
3,2015.09.30. 13:31:40,46792.0,7257.4,34810.0,8764200.0,1752.3,564.82,4.659642857142856,256.05,531.47
3,2015.09.30. 13:31:41,154770.0,5880.4,43575.0,8774300.0,1714.4,538.78,0,247.6,544.99
3,2015.09.30. 13:31:42,84032.0,4982.3,35141.0,8664200.0,1702.3,534.44,4.648571428571428,291.91,558.29
3,2015.09.30. 13:31:43,73176.0,9483.9,59264.0,8628000.0,1734.3,522.74,4.824999999999999,276.67,621.77
3,2015.09.30. 13:31:44,147990.0,4568.7,67295.0,9039000.0,1718.3,494.04,4.963636363636364,267.36,608.85
3,2015.09.30. 13:31:45,96477.0,8025.9,61153.0,9258500.0,1683.5,510.5,4.696749999999999,273.95,617.02
3,2015.09.30. 13:31:46,173840.0,7478.5,38357.0,8886300.0,1684.3,527.36,5.128695652173913,284.86,615.23
3,2015.09.30. 13:31:47,146960.0,6716.7,114790.0,8806500.0,1722.7,548.88,4.65,296.59,603.01
3,2015.09.30. 13:31:48,496200.0,15007.0,552390.0,8585900.0,1776.2,547.24,5.043541666666668,298.79,602.96
3,2015.09.30. 13:31:49,1245800.0,51020.0,690610.0,8426500.0,1818.0,543.23,0,311.37,595.17
3,2015.09.30. 13:31:50,213080.0,8784.4,93968.0,7972600.0,1830.0,556.05,4.788999999999999,373.95,582.64
3,2015.09.30. 13:31:51,170710.0,6951.1,46437.0,7887700.0,1846.4,578.12,5.1535,368.47,656.83
3,2015.09.30. 13:31:52,83346.0,4475.9,101520.0,8376100.0,1824.7,578.85,4.549531249999999,367.52,654.46
3,2015.09.30. 13:31:53,66760.0,7176.8,10246.0,7126100.0,1830.4,574.38,4.85575,370.95,654.25
3,2015.09.30. 13:31:54,86499.0,4342.3,48028.0,5512400.0,1860.2,579.44,5.1084482758620675,382.0,663.0
3,2015.09.30. 13:31:55,192360.0,7022.7,79936.0,4363900.0,1896.6,569.01,4.547999999999999,382.77,658.11
3,2015.09.30. 13:31:56,104600.0,8180.4,29530.0,4080800.0,1964.9,569.49,0,382.2,659.44
3,2015.09.30. 13:31:57,178020.0,5491.5,97769.0,3793700.0,2081.0,585.57,4.415192307692308,392.86,660.85
3,2015.09.30. 13:31:58,205380.0,6402.1,109040.0,3422600.0,2203.0,579.53,4.732500000000001,401.88,657.63
3,2015.09.30. 13:31:59,88894.0,6537.5,34900.0,152640.0,2184.7,584.33,5.123541666666667,402.1,650.79
3,2015.09.30. 13:32:00,157940.0,7559.3,61029.0,158930.0,2144.9,586.16,4.585111111111112,399.23,638.1
3,2015.09.30. 13:32:01,54545.0,8443.3,31538.0,289590.0,2124.2,565.94,5.020833333333333,400.86,643.44
3,2015.09.30. 13:32:02,139890.0,4049.0,80249.0,426410.0,2117.3,596.11,4.096486486486489,398.91,654.11
3,2015.09.30. 13:32:03,71583.0,7621.8,183610.0,364030.0,2096.0,590.15,3.9292307692307693,397.08,662.86
3,2015.09.30. 13:32:04,143220.0,5148.9,43735.0,586240.0,2068.8,583.67,4.149576271186441,400.98,670.8
3,2015.09.30. 13:32:05,124470.0,6190.6,44396.0,962730.0,2070.6,622.55,4.189915254237288,398.06,688.98
3,2015.09.30. 13:32:06,148430.0,5941.0,70369.0,492520.0,2049.3,721.88,3.943499999999999,401.65,697.57
1,2015.09.30. 13:32:52,91235.0,5824.7,94036.0,855170.0,1100.6,401.65,4.2556521739130435,260.83,343.68
1,2015.09.30. 13:32:53,275220.0,9158.4,163080.0,895100.0,1114.3,401.9,4.735,260.0,343.74
1,2015.09.30. 13:32:54,231850.0,6571.9,52819.0,863710.0,1093.9,401.48,4.976000000000001,260.13,343.84
